strategy,taskType,bandwidth,seqLen,ttftMs,tpotMs,e2eLatencyMs,kvTransferTimeMs,compressionRatio,qualityScore,bandwidthSavingPct,ttftReductionPct
None,math,Low-1Gbps,1024,4447.37,11.50,4610.37,4294.97,1.0000,1.0000,0.0,0.0
Uniform,math,Low-1Gbps,1024,1226.14,11.50,1389.14,1073.74,0.2500,1.0000,75.0,72.4
PD-Aware,math,Low-1Gbps,1024,477.90,11.50,640.90,325.50,0.0758,0.8151,92.4,89.3
Task-Aware,math,Low-1Gbps,1024,1528.08,11.50,1691.08,1375.68,0.3203,0.8315,68.0,65.6
PD-Task-Aware,math,Low-1Gbps,1024,506.14,11.50,669.14,353.74,0.0824,0.8211,91.8,88.6
QCBM,math,Low-1Gbps,1024,236.29,11.50,399.29,83.89,0.0195,0.7148,98.0,94.7
None,math,Low-1Gbps,4096,17639.47,11.50,18262.97,17179.87,1.0000,1.0000,0.0,0.0
Uniform,math,Low-1Gbps,4096,4754.57,11.50,5378.07,4294.97,0.2500,1.0000,75.0,73.0
PD-Aware,math,Low-1Gbps,4096,1761.62,11.50,2385.12,1302.02,0.0758,0.8151,92.4,90.0
Task-Aware,math,Low-1Gbps,4096,5962.31,11.50,6585.81,5502.71,0.3203,0.8315,68.0,66.2
PD-Task-Aware,math,Low-1Gbps,4096,1874.58,11.50,2498.08,1414.98,0.0824,0.8211,91.8,89.4
QCBM,math,Low-1Gbps,4096,795.14,11.50,1418.64,335.54,0.0195,0.7148,98.0,95.5
None,math,Low-1Gbps,8192,35228.94,11.50,36467.44,34359.74,1.0000,1.0000,0.0,0.0
Uniform,math,Low-1Gbps,8192,9459.13,11.50,10697.63,8589.93,0.2500,1.0000,75.0,73.2
PD-Aware,math,Low-1Gbps,8192,3473.24,11.50,4711.74,2604.04,0.0758,0.8151,92.4,90.1
Task-Aware,math,Low-1Gbps,8192,11874.62,11.50,13113.12,11005.42,0.3203,0.8315,68.0,66.3
PD-Task-Aware,math,Low-1Gbps,8192,3699.15,11.50,4937.65,2829.95,0.0824,0.8211,91.8,89.5
QCBM,math,Low-1Gbps,8192,1540.29,11.50,2778.79,671.09,0.0195,0.7148,98.0,95.6
None,math,Mid-10Gbps,1024,581.90,11.50,744.90,429.50,1.0000,1.0000,0.0,0.0
Uniform,math,Mid-10Gbps,1024,259.77,11.50,422.77,107.37,0.2500,1.0000,75.0,55.4
PD-Aware,math,Mid-10Gbps,1024,184.95,11.50,347.95,32.55,0.0758,0.8151,92.4,68.2
Task-Aware,math,Mid-10Gbps,1024,289.97,11.50,452.97,137.57,0.3203,0.8315,68.0,50.2
PD-Task-Aware,math,Mid-10Gbps,1024,187.77,11.50,350.77,35.37,0.0824,0.8211,91.8,67.7
QCBM,math,Mid-10Gbps,1024,160.79,11.50,323.79,8.39,0.0195,0.7148,98.0,72.4
None,math,Mid-10Gbps,4096,2177.59,11.50,2801.09,1717.99,1.0000,1.0000,0.0,0.0
Uniform,math,Mid-10Gbps,4096,889.10,11.50,1512.60,429.50,0.2500,1.0000,75.0,59.2
PD-Aware,math,Mid-10Gbps,4096,589.80,11.50,1213.30,130.20,0.0758,0.8151,92.4,72.9
Task-Aware,math,Mid-10Gbps,4096,1009.87,11.50,1633.37,550.27,0.3203,0.8315,68.0,53.6
PD-Task-Aware,math,Mid-10Gbps,4096,601.10,11.50,1224.60,141.50,0.0824,0.8211,91.8,72.4
